Item Number,Description,MSC#,Item Group,Item Sub Group,Supplier,Supplier Part Number,Brand,Unit Cost
1227,CC11 INSERT SCREW,3330917,,,MSC,1260087,KENNAMETAL,2.06
1229,LCMF1605040500MG CP500    SECO CARB MULTI-USE INS,8603433,,,MSC,86117,SECO,28.34
1230,0.5000 XM05009CS005S0CM SWIFTCARB,ProdTool,ENDMILLS,,Central,XM05009CS005S0CM SWIFTCARB,Production Tool,137.8
1231,"0.3750 3/8"""" Ramp Mill",,ENDMILLS,,Central,XD03754CA003T6CM SWIFTCARB,Production Tool,0
1232,"0.3750 3/8"""" Rough Endmill XM03757CS003R60 SWIFTCARB",Swiftcarb,ENDMILLS,,Central,XM03757CS003R60 SWIFTCARB,Production Tool,73.82
1233,"0.2500 1/4"""" Rough EM",,ENDMILLS,,Central,XM02507BU003S0CM SWIFTCARB,Production Tool,48.41
1234,"0.1875 3/16"""" Ramp Mill.  XT018755M001T30M SWIFTCARB",,ENDMILLS,,Central,XT018755M001T30M SWIFTCARB,Production Tool,0
1235,0.1875 XM0187562001R60M SWIFTCARB,,ENDMILLS,,Central,XM0187562001R60M SWIFTCARB,Production Tool,47
1237,"0.5000 1/2"""" 4FL MULTI SF OSG SC SQ SEM",55465272,,,MSC,205096111,OSG INC. (EXO E/M'S),67.78
1239,0.1875 3/16X7/16X2 .015 EXO AERO UVX 4F SC HP CR EM,44867638,,,MSC,205201111,OSG INC. (EXO E/M'S),21.62
1240,0.1875 3/16X5/8X2-1/4 TIALN OSG 4FL SC HP CHMF EM,53412557,,,MSC,VG436-1876,OSG INC (HYPRO CARB EMS),22.62
1241,0.3150 8.00mm B271Z 8MM KCPK20 CARB 15XD XL CLNT DRILL,42703652,,,MSC,5506091,KENNAMETAL (HOLEMAKING),337.39
1242,0.1969 5.00 mm 4510 R2.5XM5X6X5 EXOCARB WXS 2FL BN SEM,71233456,,,,3041450,OSG INC. (EXO E/M'S),101.97
1243,0.0781 5/64X1/4X1-1/2 TIALN OSG 4F SC HP EM,53416301,,,MSC,HP441-0781,OSG INC (HYPRO CARB EMS),16
1244,0.3543 9.00 mm Luger Rougher Carbide (Custom),,REAMER,,Central,9mm Luger Rougher Carbide (Custom),Pacific Tool & Gauge,0
1245,0.3543 9.00 mm Luger Finisher Carbide (Custom),,REAMER,,Central,9mm Luger Finisher Carbide (Custom),Pacific Tool & Gauge,0
1246,312.0200.04 P20 CARBIDE INSERT,47194691,,,MSC,312.0200.04 P20,HORN USA,22.14
1247,LT11NR32UN KC5025 KMT LT THREADING INSERT,5472063,,,MSC,1743899,KENNAMETAL (INDEXABLE),24.66
1248,DPGT21.51HP K313 SCREW-ON CARB TURNING INS,8442329,,,MSC,1162215,KENNAMETAL (INDEXABLE),15.92
1249,DFR030204GD KCU40 CARB DRILL-FIX INSERT(Indexable 01278225),62956990,,,MSC,5065558,KENNAMETAL (INDEXABLE),12.6
1250,0.1969 5.00 mm X10MMX6MMX80MM WXL    OSG EXOCARB 2FL BALL SEM,51026292,,,MSC,3106500,OSG,46.28
1251,MITS-109046 INSERT,,INSERTS,,Central,MITS-109046 INSERT,AHB,0
1252,LT16ELAG60 KC5025 THREADING INSERT,3573904,,,MSC,1743702,KENNAMETAL,23.77
1253,606.0250.0 GRADE TA54 INSERT,43104538,,,MSC,606.0250.00TA45,HORN USA,79.16
1254,"0.2811 B977 9/32"""" 140D    KENNA-UNIV CARB CLNT DR",5346770,,,MSC,2658216,KENNAMETAL,93.42
1255,0.2500 5525 1/4 140D FIREX GUHR SC 12XD CLNT FD DR,5790993,,,MSC,9.06E+12,GUHRING,194.34
1256,WNMG432EEG AC510U CARB TURNING INSERT,45227451,,,MSC,19HVCGK,SUMITOMO,8.24
1257,M306.0012.03B PH GROOVING HOLDER,82721309,,,MSC,M306.0012.03B,PH HORN,244.8
1258,Steel Boring Insert - CCMT2151 UE6020,AHB,INSERTS,,Central,CCMT060204 UE6020,AHB,9.968
1259,CFMR 100 05DJET    SECO STL MDT TURN TLHOLDR,57199200,,,MSC,62496,,246.24
1260,0.0625 1/16X1/8SHX3/16 2FL SGS TINAMITE-C SHR CRB EM,74377,,,MSC,35300,SGS,20.02
1261,Iscar - 6003143 - Cut-Off Inserts | Material: Carbide | Insert Style: GFN,7079643,,,MSC,6003143,Iscar,14.17
1262,1.4055 35.70 mm Keyway Cutter 35.7mm x 2mm x 11mm x 32mm x 0.2mm Cr 6Fl Carb TA45 Steel,83878157,,,MSC,,,92.41
1263,M332.0016.2.01A HORN USE TOOLHOLDER QIA,54978242,,,MSC,,,314.27
1264,"0.1250 End Mill 1/8"""" x 1/4"""" 4Fl Carb .01CC Finish AlTiN Steel",84328061,,,MSC,,,16.5
1265,0.1250 Chamfer Mill 60DEG 2Fl Carb AlTiN Steel,76399906,Holemaking,ChamferMills,MSC,,,33.19
1266,0.0787 2.00 mm End Mill 2.0mm x 3.0mm 2Fl Carb Square Finish TiAlN Steel,32134009,,,MSC,,,38.9
1267,"0.1250 Accupro - 1/8 Inch Diameter, 1/2 Inch Length of Cut, 4 Flutes, Solid Carbide Single End Square End Mill",1982222,,,MSC,,Accupro,11.34
1268,0.1181 Drill 3.00 mm x 14mm x 38mm x 120Deg 2Fl Carb Bright Steel,61612883,,,MSC,,,11.41
1269,"Steel - Engraving Tool 1/8"""" x 90Deg x .01"""" 2Fl Carb AlTiN Steel",42125740,,,MSC,961945-C3,HARVEY,24.6
1270,"0.3940 10.10 mm Broach 10.1mm x 1.969"""" Carb TA45 Steel",80570898,,,MSC,,,65.74
1271,0.0787 2.00 mm End Mill 1.0mm x 2.0mm 2Fl Carb Ball Finish TiAlN Steel,88855267,,,MSC,,,91.19
1272,"0.3750 Extended EM, 0.625 LOC, 6 OAL, 0.03 CR, 4 Fl, AlTiN",70216940,,,MSC,,,198.55
1273,SHU117.0125.1.16  Toolholder,53355210,,,MSC,,,212.22
1274,0.2500 Accupro - Corner Radius & Corner Chamfer End Mills | Mill Diameter (Inch): 1/4 | Mill Diameter (Decimal Inch): 0.2500,76004985,,,MSC,35025006020C5,ACCUPRO,32.31
1275,0.0787 2.00 mm M.A. Ford - 22907870 - Jobber Length Drill Bits | Series/List: 229 | Drill Bit Size (mm): 2.00,45526,,,MSC,22907870,MA FORD,35.83
1276,0.1181 3.00mm M3x0.5 OSG - 2963300 - Spiral Flute Taps | Series/List: 296,64048267,,,MSC,2963300,OSG,26.69
1277,0.2165 5.50 mm Guhring - 9055250055000 - Extra Length Drill Bits | Series/List: 5525 | Drill Bit Size (mm): 5.50,5790977,,,MSC,9.06E+12,GUHRING,185.1
1300,0.2638 6.70mm 5520 140D EXO WD1    OSG CARB 8XD CLNT TPR DRL,81682742,,,MSC,552026311,OSG,136.13
1301,0.3750 Niagara Cutter - N60740 - Corner Radius & Corner Chamfer End Mills Mill Diameter (Inch): 3/8 End Type: Corner Radius,84780014,,,MSC,N60740,NIAGARA,153.6
1302,TGF5-492R,,ENDMILLS,,Central,TGF5-492R,AHB,0
1303,0.1850 #13 NO 13 118 DEG    SGS S/CAR J/L DRILL,65269318,,,MSC,51013,SGS,30.43
1305,0.0938 3/32 270D 2FL SPH BALL    UNDERCUTTING CRB ENDMILL,64449325,,,MSC,23206,HARVEY,40.39
